Question,1,2,3,4,5,N,labelA,labelB,labelC,labelD,labelE,RealQuestion
Question 1: Attention,293,344,1624,1359,576,4196,"(A) Facebook poke
","(B) Three words: megaphone, Annenberg, balcony.
","(C) ""Coincidentally"" enroll in the same class, ""coincidentally"" get the same section, and then ""coincidentally"" demand that they pset with you. 
","(D) Meekly wave hi, and spend the rest of the day wondering whether they saw you or not.
","(E) Correctly predict and select all their Datamatch answers
","(1) How do you get your crush's attention?
"
Question 2: Crying,699,1182,677,508,1130,4196,"(A) Let's see, so it's been about an hour since lunch...and earlier when I heard that sad song...and, oh, when they ran out of bacon for breakfast...
","(B) When was my last final?
","(C) A couple times when I was a kid and my parents had to send my pets to the farm. I hear they're really happy, though!
","(D) I've only cried one time in my life. Curse you, George R.R. Martin.
","(E) I don't cry. I lubricate my face.
","(2) When was the last time you cried, and why?
"
Question 3: News,660,1383,596,729,828,4196,"(A) The Crimson
","(B) Your drunk, gossipy roommate 
","(C) Harvard Leads 2016 email list
","(D) The Harvard Snapchat story
","(E) Datamatch is contractually obligated to include ""Satire V"" as an answer
","(3) What is Harvard's Finest News Source?
"
Question 4: Sports,366,961,632,1333,904,4196,"(A) 1: Is The Bachelorette a sport?
","(B) 2: One time the Olympics was on, and I couldn't find the remote to change the channel.
","(C) 3: All my friends watch football, and I'm still too embarassed to ask them why this owl is so superb.
","(D) 4: Every year I watch the side-entertainment that they include with the Super Bowl commercials.
","(E) 5: A lot...once I watched a basketball game on my phone while in the audience for that game.
","(4) On a scale of 1 to 5, how often do you follow sports?
"
Question 5: Language,815,713,350,1225,1093,4196,"(A) French
","(B) Parseltongue
","(C) C++
","(D) Emoji :heart_eyes: :eggplant: :hankey:
","(E) All I really need to understand is when you talk dirty to me
","(5) What is the language of love?
"
Question 6: Gen Eds,814,1144,902,697,639,4196,"(A) Science of Living Systems - You know what this one means, baby.
","(B) Aesthetic and Interpretive Understanding - No one knows what this one means, baby.
","(C) Ethical Reasoning - The just and right thing to do would be to study. Yet here I am.
","(D) Empirical and Mathematical Reasoning - If I have $100, and my paycheck is for $40, how many grams can I afford?
","(E) Culture and Belief - Jesus, take the wheel.
","(6) The Gen Ed that most describes my life is...
"
Question 7: Authors,598,1445,356,1173,624,4196,"(A) Leo Tolstoy - Length matters.
","(B) Dr. Seuss - I would do it here, I would do it there, I would do it anywhere.
","(C) George R.R. Martin - I just hope I don't get killed off.
","(D) Jane Austen - It is a truth universally acknowledged that a single person, in posession of a good fortune, must be in want of a snuggle buddy.
","(E) Gabriel Garcia Marquez - One Hundred Years of Solitude
","(7) If I had to have a romantic tryst with an author I would pick...
"
Question 8: Zombies,1001,828,432,1024,911,4196,"(A) Tripping over a rock running from the first zombie you see.
","(B) Testing a prion-deactivated, beta-infused vaccine that apparently just makes the virus stronger.
","(C) What's this door ""Don't Dead Open Inside"" mean? Let me open it and find out.
","(D) Teaming up with your best friends, and inevitably devolving into shooting each other.
","(E) Trying to Rambo your way through a zombie horde, and being eaten by the first one.
","(8) How would you be most likely to die in a zombie apocalypse?
"
Question 9: Bedroom,245,2134,735,296,786,4196,"(A) Expository Writing - Everyone's been in me at some point
","(B) CS 50 - Stay up till 4 AM and end up leaving with a new t-shirt
","(C) Math 55 - Confusing, esoteric, and involves a lot of commutative diagrams
","(D) Economics 10 - 700 people are involved
","(E) Chem 17 - Starts bright-eyed and full of hope, and ends in tears
","(9) Which class are you in the bedroom?
"
Question 10: Dress,1158,1002,490,900,646,4196,"(A) Black and blue.
","(B) White and gold.
","(C) It was red and yellow and green and brown / And scarlet and black and ocher and peach / And ruby and olive and violet and fawn / And lilac and gold and chocolate and mauve / And cream and crimson and silver and rose / And azure and lemon and ...
","(D) I don't respect your socially constructed fabric binaries.
","(E) You know what? I'm colorblind, and I'm tired of hearing about this dress. It's whatever color you want it to be, okay?
","(10) What color is the dress?
"
Question 11: Thesis,943,854,865,703,831,4196,"(A) A Humanistic Study of the Conservation of Energy: On Half-Assing a Thesis
","(B) Review of Recent Developments in Physics: When Things Bump Into Each Other, Other Things Happen
","(C) Deconstruction of 21st Century Government: He Said, She Said
","(D) A Subtextual Conjunction in Visual Studies: Hey, I Made a Youtube Video
","(E) The Politics of Medicine: When I Was 12, My Parents Asked If I Wanted To Be a Doctor or Lawyer
","(11) If you had unlimited time and resources, what would you write a thesis on?
"
